"Journal" "Ais" "Ford" "Quantile"
"EXPERIMENTAL NEUROLOGY" 1.454 "BASIC MED" 0.149
"IMMUNOLOGY AND CELL BIOLOGY" 1.449 "BASIC MED" 0.15
"CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY" 1.441 "BASIC MED" 0.151
"BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION" 1.44 "BASIC MED" 0.151
"MULTIPLE SCLEROSIS JOURNAL" 1.435 "BASIC MED" 0.152
"JOURNAL OF MOLECULAR MEDICINE-JMM" 1.434 "BASIC MED" 0.153
"CLINICAL SCIENCE" 1.431 "BASIC MED" 0.154
"STATISTICS IN MEDICINE" 1.422 "BASIC MED" 0.155
"CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE" 1.406 "BASIC MED" 0.156
"ORPHANET JOURNAL OF RARE DISEASES" 1.404 "BASIC MED" 0.157
"FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY" 1.4 "BASIC MED" 0.158
"JOURNAL OF NEURODEVELOPMENTAL DISORDERS" 1.39 "BASIC MED" 0.158
"JOURNAL OF NEUROTRAUMA" 1.39 "BASIC MED" 0.159
"BIPOLAR DISORDERS" 1.382 "BASIC MED" 0.16
"BRITISH JOURNAL OF PHARMACOLOGY" 1.382 "BASIC MED" 0.161
"FRONTIERS IN NEUROSCIENCE" 1.363 "BASIC MED" 0.162
"AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM" 1.361 "BASIC MED" 0.163
"JOURNAL OF INHERITED METABOLIC DISEASE" 1.359 "BASIC MED" 0.164
"EXPERT REVIEWS IN MOLECULAR MEDICINE" 1.355 "BASIC MED" 0.165
"JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY" 1.355 "BASIC MED" 0.165
"NEUROINFORMATICS" 1.349 "BASIC MED" 0.166
"LEARNING & MEMORY" 1.347 "BASIC MED" 0.167
"WILEY INTERDISCIPLINARY REVIEWS-NANOMEDICINE AND NANOBIOTECHNOLOGY" 1.338 "BASIC MED" 0.168
"NEUROPHOTONICS" 1.332 "BASIC MED" 0.169
"CNS DRUGS" 1.324 "BASIC MED" 0.17
"DRUG METABOLISM REVIEWS" 1.322 "BASIC MED" 0.171
"INTERNATIONAL IMMUNOLOGY" 1.321 "BASIC MED" 0.172
"NEUROPHARMACOLOGY" 1.316 "BASIC MED" 0.173
"CLINICAL PHARMACOKINETICS" 1.315 "BASIC MED" 0.173
"INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY" 1.31 "BASIC MED" 0.174
"MOLECULAR PHARMACOLOGY" 1.31 "BASIC MED" 0.175
"ANTIMICROBIAL AGENTS AND CHEMOTHERAPY" 1.307 "BASIC MED" 0.176
"PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT" 1.304 "BASIC MED" 0.177
"FRONTIERS IN NEUROLOGY" 1.3 "BASIC MED" 0.178
"EUROPEAN JOURNAL OF NEUROLOGY" 1.297 "BASIC MED" 0.179
"NEURAL DEVELOPMENT" 1.297 "BASIC MED" 0.18
"ANTIVIRAL RESEARCH" 1.294 "BASIC MED" 0.18
"AMERICAN BEHAVIORAL SCIENTIST" 1.293 "BASIC MED" 0.181
"JOURNAL OF CLINICAL LIPIDOLOGY" 1.292 "BASIC MED" 0.182
"COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE" 1.29 "BASIC MED" 0.183
"JOURNAL OF INNATE IMMUNITY" 1.29 "BASIC MED" 0.184
"NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE" 1.289 "BASIC MED" 0.185
"NEUROENDOCRINOLOGY" 1.288 "BASIC MED" 0.186
"TRANSPLANTATION" 1.287 "BASIC MED" 0.187
"FRONTIERS IN HUMAN NEUROSCIENCE" 1.286 "BASIC MED" 0.187
"ACS CHEMICAL NEUROSCIENCE" 1.282 "BASIC MED" 0.188
"NANOTOXICOLOGY" 1.282 "BASIC MED" 0.189
"EXPERT REVIEW OF VACCINES" 1.279 "BASIC MED" 0.19
"INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS" 1.279 "BASIC MED" 0.191
"TRANSLATIONAL RESEARCH" 1.276 "BASIC MED" 0.192
"FRONTIERS IN NEUROANATOMY" 1.273 "BASIC MED" 0.193
"DRUGS" 1.265 "BASIC MED" 0.194
"FRONTIERS IN AGING NEUROSCIENCE" 1.265 "BASIC MED" 0.194
"JOURNAL OF NEUROCHEMISTRY" 1.265 "BASIC MED" 0.195
"REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY" 1.261 "BASIC MED" 0.196
"WILEY INTERDISCIPLINARY REVIEWS-SYSTEMS BIOLOGY AND MEDICINE" 1.251 "BASIC MED" 0.197
"JOURNAL OF IMMUNOTHERAPY" 1.248 "BASIC MED" 0.198
"JOURNAL OF SLEEP RESEARCH" 1.245 "BASIC MED" 0.199
"MOLECULAR NEUROBIOLOGY" 1.244 "BASIC MED" 0.2
"LABORATORY INVESTIGATION" 1.239 "BASIC MED" 0.201
"JOURNAL OF ANXIETY DISORDERS" 1.238 "BASIC MED" 0.201
"MOLECULAR BRAIN" 1.238 "BASIC MED" 0.202
"EUROPEAN NEUROPSYCHOPHARMACOLOGY" 1.232 "BASIC MED" 0.203
"ARCHIVES OF TOXICOLOGY" 1.225 "BASIC MED" 0.204
"ASN NEURO" 1.225 "BASIC MED" 0.205
"STEM CELL RESEARCH & THERAPY" 1.225 "BASIC MED" 0.206
"CURRENT NEUROPHARMACOLOGY" 1.224 "BASIC MED" 0.207
"CLINICAL IMMUNOLOGY" 1.223 "BASIC MED" 0.208
"IMMUNOLOGY" 1.223 "BASIC MED" 0.208
"JOURNAL OF PSYCHOPHARMACOLOGY" 1.221 "BASIC MED" 0.209
"JOURNAL OF BIOLOGICAL RHYTHMS" 1.219 "BASIC MED" 0.21
"FRONTIERS IN PHYSIOLOGY" 1.218 "BASIC MED" 0.211
"PHARMACOECONOMICS" 1.217 "BASIC MED" 0.212
"JOURNAL OF COMPARATIVE NEUROLOGY" 1.216 "BASIC MED" 0.213
"CANCER IMMUNOLOGY IMMUNOTHERAPY" 1.208 "BASIC MED" 0.214
"PHARMACOLOGICAL RESEARCH" 1.207 "BASIC MED" 0.215
"BRITISH JOURNAL OF CLINICAL PHARMACOLOGY" 1.205 "BASIC MED" 0.215
"JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA" 1.197 "BASIC MED" 0.216
"AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY" 1.193 "BASIC MED" 0.217
"HUMAN GENE THERAPY" 1.193 "BASIC MED" 0.218
"JOURNAL OF SEX RESEARCH" 1.187 "BASIC MED" 0.219
"PROGRESS IN BRAIN RESEARCH" 1.186 "BASIC MED" 0.22
"MOLECULAR AND CELLULAR NEUROSCIENCE" 1.185 "BASIC MED" 0.221
"FRONTIERS IN BEHAVIORAL NEUROSCIENCE" 1.175 "BASIC MED" 0.222
"NEUROBIOLOGY OF LEARNING AND MEMORY" 1.173 "BASIC MED" 0.222
"BIOCHEMICAL PHARMACOLOGY" 1.169 "BASIC MED" 0.223
"EXPERT OPINION ON THERAPEUTIC TARGETS" 1.165 "BASIC MED" 0.224
"INTERNATIONAL JOURNAL FOR PARASITOLOGY-DRUGS AND DRUG RESISTANCE" 1.162 "BASIC MED" 0.225
"JOURNAL OF NEUROENGINEERING AND REHABILITATION" 1.158 "BASIC MED" 0.226
"NEUROPSYCHOLOGY" 1.156 "BASIC MED" 0.227
"NEUROPSYCHOLOGY" 1.156 "BASIC MED" 0.228
"CURRENT NEUROLOGY AND NEUROSCIENCE REPORTS" 1.155 "BASIC MED" 0.229
"FRONTIERS IN PHARMACOLOGY" 1.151 "BASIC MED" 0.229
"INTERNATIONAL JOURNAL OF EATING DISORDERS" 1.146 "BASIC MED" 0.23
"TRANSLATIONAL STROKE RESEARCH" 1.146 "BASIC MED" 0.231
"PHARMACOEPIDEMIOLOGY AND DRUG SAFETY" 1.145 "BASIC MED" 0.232
"PSYCHOPHYSIOLOGY" 1.145 "BASIC MED" 0.233
"BRAIN AND LANGUAGE" 1.143 "BASIC MED" 0.234
"CLINICAL NEUROPHYSIOLOGY" 1.142 "BASIC MED" 0.235
"MOLECULAR MEDICINE" 1.139 "BASIC MED" 0.236
"INFECTION AND IMMUNITY" 1.137 "BASIC MED" 0.236
"EUROPEAN JOURNAL OF NEUROSCIENCE" 1.133 "BASIC MED" 0.237
"AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY" 1.129 "BASIC MED" 0.238
"EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY" 1.129 "BASIC MED" 0.239
"JOURNAL OF NEUROIMMUNE PHARMACOLOGY" 1.129 "BASIC MED" 0.24
"EXPERT OPINION ON DRUG DELIVERY" 1.128 "BASIC MED" 0.241
"MOLECULAR THERAPY-METHODS & CLINICAL DEVELOPMENT" 1.127 "BASIC MED" 0.242
"REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY" 1.127 "BASIC MED" 0.243
"NEUROGASTROENTEROLOGY AND MOTILITY" 1.124 "BASIC MED" 0.243
"AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY" 1.122 "BASIC MED" 0.244
"NEUROPSYCHOLOGIA" 1.122 "BASIC MED" 0.245
"CONSERVATION PHYSIOLOGY" 1.113 "BASIC MED" 0.246
"EXPERT REVIEW OF ANTI-INFECTIVE THERAPY" 1.113 "BASIC MED" 0.247
"DEVELOPMENTAL NEUROBIOLOGY" 1.109 "BASIC MED" 0.248
"JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY" 1.109 "BASIC MED" 0.249
"JOURNAL OF TRAUMATIC STRESS" 1.106 "BASIC MED" 0.25
"JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS" 1.105 "BASIC MED" 0.25
"NUCLEIC ACID THERAPEUTICS" 1.097 "BASIC MED" 0.251
"ALTEX-ALTERNATIVES TO ANIMAL EXPERIMENTATION" 1.096 "BASIC MED" 0.252
"MOLECULAR PAIN" 1.086 "BASIC MED" 0.253
"BRITISH JOURNAL OF CLINICAL PSYCHOLOGY" 1.084 "BASIC MED" 0.254
"CONTEMPORARY CLINICAL TRIALS" 1.08 "BASIC MED" 0.255
"AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY" 1.079 "BASIC MED" 0.256
"GENES BRAIN AND BEHAVIOR" 1.077 "BASIC MED" 0.257
"JOURNAL OF CHEMICAL INFORMATION AND MODELING" 1.077 "BASIC MED" 0.257
"JOURNAL OF APPLIED PHYSIOLOGY" 1.075 "BASIC MED" 0.258
"JOURNAL OF NEUROPHYSIOLOGY" 1.075 "BASIC MED" 0.259
"SOCIAL NEUROSCIENCE" 1.075 "BASIC MED" 0.26
"AAPS JOURNAL" 1.074 "BASIC MED" 0.261
"JOURNAL OF ALZHEIMERS DISEASE" 1.071 "BASIC MED" 0.262
"TOXICOLOGICAL SCIENCES" 1.071 "BASIC MED" 0.263
"JOURNAL OF CLINICAL IMMUNOLOGY" 1.069 "BASIC MED" 0.264
"FUTURE MEDICINAL CHEMISTRY" 1.068 "BASIC MED" 0.264
"JOURNAL OF BEHAVIORAL MEDICINE" 1.065 "BASIC MED" 0.265
"JOURNAL OF TRANSLATIONAL MEDICINE" 1.065 "BASIC MED" 0.266
"BRITISH JOURNAL OF HEALTH PSYCHOLOGY" 1.055 "BASIC MED" 0.267
"VACCINE" 1.054 "BASIC MED" 0.268
"JOURNAL OF NEUROENDOCRINOLOGY" 1.051 "BASIC MED" 0.269
"INTERNATIONAL REVIEWS OF IMMUNOLOGY" 1.05 "BASIC MED" 0.27
"TRANSPLANTATION REVIEWS" 1.048 "BASIC MED" 0.271
"JOURNAL OF PARKINSONS DISEASE" 1.045 "BASIC MED" 0.271
"PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY" 1.045 "BASIC MED" 0.272
"COGNITIVE NEUROSCIENCE" 1.042 "BASIC MED" 0.273
"ACTA PHYSIOLOGICA" 1.041 "BASIC MED" 0.274
"CURRENT OPINION IN ALLERGY AND CLINICAL IMMUNOLOGY" 1.038 "BASIC MED" 0.275
"CURRENT ALZHEIMER RESEARCH" 1.035 "BASIC MED" 0.276
"ACS MEDICINAL CHEMISTRY LETTERS" 1.034 "BASIC MED" 0.277
"MOLECULAR GENETICS AND METABOLISM" 1.029 "BASIC MED" 0.278
"AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY" 1.028 "BASIC MED" 0.278
"CEREBELLUM" 1.027 "BASIC MED" 0.279
"MOLECULAR PHARMACEUTICS" 1.027 "BASIC MED" 0.28
"VISUAL NEUROSCIENCE" 1.027 "BASIC MED" 0.281
"PSYCHOLOGY OF VIOLENCE" 1.024 "BASIC MED" 0.282
"INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY" 1.023 "BASIC MED" 0.283
"JOURNAL OF NEURAL ENGINEERING" 1.023 "BASIC MED" 0.284
"PEDIATRIC ALLERGY AND IMMUNOLOGY" 1.022 "BASIC MED" 0.285
"CRITICAL REVIEWS IN IMMUNOLOGY" 1.021 "BASIC MED" 0.285
"EXPERT OPINION ON DRUG DISCOVERY" 1.017 "BASIC MED" 0.286
"EXPERT OPINION ON INVESTIGATIONAL DRUGS" 1.017 "BASIC MED" 0.287
"ARCHIVES OF SEXUAL BEHAVIOR" 1.016 "BASIC MED" 0.288
"CNS NEUROSCIENCE & THERAPEUTICS" 1.016 "BASIC MED" 0.289
"BRAIN TOPOGRAPHY" 1.015 "BASIC MED" 0.29
"JOURNAL OF PERSONALITY ASSESSMENT" 1.014 "BASIC MED" 0.291
"DRUG SAFETY" 1.007 "BASIC MED" 0.292
"CLINICAL TOXICOLOGY" 1.006 "BASIC MED" 0.292
"MEDIATORS OF INFLAMMATION" 1.005 "BASIC MED" 0.293
"NEUROMUSCULAR DISORDERS" 0.991 "BASIC MED" 0.294
"AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY" 0.99 "BASIC MED" 0.295
"CLINICAL AND EXPERIMENTAL IMMUNOLOGY" 0.989 "BASIC MED" 0.296
"JOURNAL OF CELLULAR AND MOLECULAR MEDICINE" 0.988 "BASIC MED" 0.297
"CHEMICAL SENSES" 0.985 "BASIC MED" 0.298
"EUROPEAN JOURNAL OF PAIN" 0.984 "BASIC MED" 0.299
"JOURNAL OF CELLULAR PHYSIOLOGY" 0.98 "BASIC MED" 0.299
"NEUROSCIENCE" 0.977 "BASIC MED" 0.3
"ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY" 0.976 "BASIC MED" 0.301
"EXPERT REVIEW OF CLINICAL IMMUNOLOGY" 0.972 "BASIC MED" 0.302
"HISTOPATHOLOGY" 0.968 "BASIC MED" 0.303
"PHARMACOGENOMICS JOURNAL" 0.967 "BASIC MED" 0.304
"ADDICTIVE BEHAVIORS" 0.966 "BASIC MED" 0.305
"AIDS REVIEWS" 0.964 "BASIC MED" 0.306
"PSYCHOPHARMACOLOGY" 0.962 "BASIC MED" 0.306
"PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY" 0.961 "BASIC MED" 0.307
"BRAIN AND COGNITION" 0.96 "BASIC MED" 0.308
"MOLECULAR THERAPY-ONCOLYTICS" 0.958 "BASIC MED" 0.309
"PURINERGIC SIGNALLING" 0.958 "BASIC MED" 0.31
"CHEMBIOCHEM" 0.955 "BASIC MED" 0.311
"NEURAL COMPUTATION" 0.954 "BASIC MED" 0.312
"IMMUNOLOGIC RESEARCH" 0.95 "BASIC MED" 0.313
"COGNITIVE THERAPY AND RESEARCH" 0.946 "BASIC MED" 0.313
"JOURNAL OF CLINICAL PSYCHOLOGY" 0.944 "BASIC MED" 0.314
"NEURAL PLASTICITY" 0.942 "BASIC MED" 0.315
"SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT" 0.942 "BASIC MED" 0.316
"PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY" 0.941 "BASIC MED" 0.317
"PHARMACOTHERAPY" 0.94 "BASIC MED" 0.318
"NEUROMOLECULAR MEDICINE" 0.939 "BASIC MED" 0.319
"JOURNAL OF FAMILY PSYCHOLOGY" 0.936 "BASIC MED" 0.32
"STEM CELLS AND DEVELOPMENT" 0.935 "BASIC MED" 0.32
"ALZHEIMER DISEASE & ASSOCIATED DISORDERS" 0.933 "BASIC MED" 0.321
"WOUND REPAIR AND REGENERATION" 0.932 "BASIC MED" 0.322
"ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE" 0.93 "BASIC MED" 0.323
"JOURNAL OF IMMUNOLOGY RESEARCH" 0.928 "BASIC MED" 0.324
"TRIALS" 0.926 "BASIC MED" 0.325
"FRONTIERS IN COMPUTATIONAL NEUROSCIENCE" 0.92 "BASIC MED" 0.326
"JOURNAL OF NEUROVIROLOGY" 0.919 "BASIC MED" 0.327
"MOLECULAR IMMUNOLOGY" 0.918 "BASIC MED" 0.327
"GENE THERAPY" 0.917 "BASIC MED" 0.328
"CURRENT ALLERGY AND ASTHMA REPORTS" 0.916 "BASIC MED" 0.329
"GENES AND IMMUNITY" 0.912 "BASIC MED" 0.33
"PEDIATRIC INFECTIOUS DISEASE JOURNAL" 0.909 "BASIC MED" 0.331
"DEVELOPMENTAL DYNAMICS" 0.904 "BASIC MED" 0.332
"BEHAVIORAL NEUROSCIENCE" 0.902 "BASIC MED" 0.333
"CYTOTHERAPY" 0.902 "BASIC MED" 0.334
"JOURNAL OF NATURAL PRODUCTS" 0.902 "BASIC MED" 0.335
"HEARING RESEARCH" 0.9 "BASIC MED" 0.335
"ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY" 0.897 "BASIC MED" 0.336
"INTERNATIONAL JOURNAL OF NANOMEDICINE" 0.896 "BASIC MED" 0.337
"STRESS-THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS" 0.896 "BASIC MED" 0.338
"MINDFULNESS" 0.894 "BASIC MED" 0.339
"ALLERGOLOGY INTERNATIONAL" 0.893 "BASIC MED" 0.34
"BODY IMAGE" 0.891 "BASIC MED" 0.341
"EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY" 0.886 "BASIC MED" 0.342
"EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY" 0.886 "BASIC MED" 0.342
"JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY" 0.886 "BASIC MED" 0.343
"JOURNAL OF ANATOMY" 0.884 "BASIC MED" 0.344
"JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM" 0.884 "BASIC MED" 0.345
"QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY" 0.884 "BASIC MED" 0.346
"APPLIED PHYSIOLOGY NUTRITION AND METABOLISM" 0.883 "BASIC MED" 0.347
"EXPERT REVIEW OF MOLECULAR DIAGNOSTICS" 0.882 "BASIC MED" 0.348
"TOXICOLOGY AND APPLIED PHARMACOLOGY" 0.88 "BASIC MED" 0.349
"EXPERIMENTAL PHYSIOLOGY" 0.878 "BASIC MED" 0.349
"JOURNAL OF NEUROSCIENCE METHODS" 0.877 "BASIC MED" 0.35
"JOURNAL OF HEADACHE AND PAIN" 0.876 "BASIC MED" 0.351
"MELANOMA RESEARCH" 0.876 "BASIC MED" 0.352
"JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS" 0.872 "BASIC MED" 0.353
"JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY" 0.872 "BASIC MED" 0.354
"PHYSIOLOGICAL GENOMICS" 0.872 "BASIC MED" 0.355
"JOURNAL OF CARDIOVASCULAR TRANSLATIONAL RESEARCH" 0.871 "BASIC MED" 0.356
"CLINICAL THERAPEUTICS" 0.87 "BASIC MED" 0.356
"CARDIOVASCULAR DRUGS AND THERAPY" 0.868 "BASIC MED" 0.357
"EXPERT REVIEW OF NEUROTHERAPEUTICS" 0.868 "BASIC MED" 0.358
"AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS" 0.867 "BASIC MED" 0.359
"IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA" 0.866 "BASIC MED" 0.36
"JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY" 0.865 "BASIC MED" 0.361
"REVIEWS IN THE NEUROSCIENCES" 0.862 "BASIC MED" 0.362
"BRAIN RESEARCH" 0.861 "BASIC MED" 0.363
"CYTOKINE" 0.861 "BASIC MED" 0.363
"DRUG METABOLISM AND DISPOSITION" 0.86 "BASIC MED" 0.364
"JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY" 0.859 "BASIC MED" 0.365
"BEHAVIOURAL BRAIN RESEARCH" 0.858 "BASIC MED" 0.366
"ACTA PHARMACOLOGICA SINICA" 0.856 "BASIC MED" 0.367
"CHEMICAL RESEARCH IN TOXICOLOGY" 0.856 "BASIC MED" 0.368
"PATHOGENS AND DISEASE" 0.856 "BASIC MED" 0.369
"EXPERT OPINION ON BIOLOGICAL THERAPY" 0.855 "BASIC MED" 0.37
"EXPERIMENTAL HEMATOLOGY" 0.854 "BASIC MED" 0.37
"EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS" 0.849 "BASIC MED" 0.371
"IMMUNOBIOLOGY" 0.849 "BASIC MED" 0.372
"VASCULAR PHARMACOLOGY" 0.848 "BASIC MED" 0.373
"ENVIRONMENTAL AND MOLECULAR MUTAGENESIS" 0.845 "BASIC MED" 0.374
"PSYCHOTHERAPY" 0.845 "BASIC MED" 0.375
"CHRONOBIOLOGY INTERNATIONAL" 0.843 "BASIC MED" 0.376
"COGNITIVE AND BEHAVIORAL PRACTICE" 0.838 "BASIC MED" 0.377
"ADVANCES IN THERAPY" 0.837 "BASIC MED" 0.377
"DRUGS & AGING" 0.837 "BASIC MED" 0.378
"CANCER CYTOPATHOLOGY" 0.835 "BASIC MED" 0.379
"INTERNATIONAL JOURNAL OF SPORTS PHYSIOLOGY AND PERFORMANCE" 0.835 "BASIC MED" 0.38
"JOURNAL OF SUBSTANCE ABUSE TREATMENT" 0.832 "BASIC MED" 0.381
"JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT" 0.831 "BASIC MED" 0.382
"MEDICAL MICROBIOLOGY AND IMMUNOLOGY" 0.83 "BASIC MED" 0.383
"BIODRUGS" 0.829 "BASIC MED" 0.384
"BMC NEUROSCIENCE" 0.829 "BASIC MED" 0.384
"EUROPEAN JOURNAL OF CLINICAL INVESTIGATION" 0.829 "BASIC MED" 0.385
"EXPERT OPINION ON DRUG SAFETY" 0.828 "BASIC MED" 0.386
"STEM CELL REVIEWS AND REPORTS" 0.828 "BASIC MED" 0.387
"EUROPEAN EATING DISORDERS REVIEW" 0.827 "BASIC MED" 0.388
"BRAIN AND BEHAVIOR" 0.826 "BASIC MED" 0.389
"NEURODEGENERATIVE DISEASES" 0.825 "BASIC MED" 0.39
"INTERNATIONAL REVIEW OF NEUROBIOLOGY" 0.823 "BASIC MED" 0.391
"XENOTRANSPLANTATION" 0.822 "BASIC MED" 0.391
"CRIMINAL JUSTICE AND BEHAVIOR" 0.821 "BASIC MED" 0.392
"SEMINARS IN DIAGNOSTIC PATHOLOGY" 0.821 "BASIC MED" 0.393
"VISION RESEARCH" 0.821 "BASIC MED" 0.394
"CLINICAL AND VACCINE IMMUNOLOGY" 0.82 "BASIC MED" 0.395
"INVESTIGATIONAL NEW DRUGS" 0.82 "BASIC MED" 0.396
"PHARMACEUTICAL STATISTICS" 0.82 "BASIC MED" 0.397
"JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY" 0.818 "BASIC MED" 0.398
"MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS" 0.818 "BASIC MED" 0.398
"EXPERT OPINION ON EMERGING DRUGS" 0.817 "BASIC MED" 0.399
"TOXICOLOGY" 0.815 "BASIC MED" 0.4
"PATHOLOGY" 0.813 "BASIC MED" 0.401
"MARINE DRUGS" 0.81 "BASIC MED" 0.402
"CLINICAL PSYCHOLOGY & PSYCHOTHERAPY" 0.809 "BASIC MED" 0.403
"PSYCHOLOGICAL SERVICES" 0.809 "BASIC MED" 0.404
"CHEMMEDCHEM" 0.808 "BASIC MED" 0.405
"JOURNAL OF INSECT PHYSIOLOGY" 0.808 "BASIC MED" 0.405
"IEEE TRANSACTIONS ON AUTONOMOUS MENTAL DEVELOPMENT" 0.807 "BASIC MED" 0.406
"PSYCHOTHERAPY RESEARCH" 0.806 "BASIC MED" 0.407
"ADVANCES IN ANATOMIC PATHOLOGY" 0.805 "BASIC MED" 0.408
"MARINE ENVIRONMENTAL RESEARCH" 0.804 "BASIC MED" 0.409
"NEUROLOGIC CLINICS" 0.804 "BASIC MED" 0.41
"GAIT & POSTURE" 0.803 "BASIC MED" 0.411
"AQUATIC TOXICOLOGY" 0.802 "BASIC MED" 0.412
"JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES" 0.802 "BASIC MED" 0.412
"INTERNATIONAL PSYCHOGERIATRICS" 0.801 "BASIC MED" 0.413
"NEUROTOXICOLOGY" 0.798 "BASIC MED" 0.414
"EXPERT OPINION ON PHARMACOTHERAPY" 0.797 "BASIC MED" 0.415
"IMMUNITY & AGEING" 0.797 "BASIC MED" 0.416
"JOURNAL OF BIOMEDICAL SCIENCE" 0.794 "BASIC MED" 0.417
"CLINICAL JOURNAL OF SPORT MEDICINE" 0.792 "BASIC MED" 0.418
"TUBERCULOSIS" 0.789 "BASIC MED" 0.419
"CURRENT MEDICINAL CHEMISTRY" 0.788 "BASIC MED" 0.419
"TOXINS" 0.788 "BASIC MED" 0.42
"DEVELOPMENTAL NEUROSCIENCE" 0.787 "BASIC MED" 0.421
"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS" 0.787 "BASIC MED" 0.422
"JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY" 0.787 "BASIC MED" 0.423
"ARCHIVES OF CLINICAL NEUROPSYCHOLOGY" 0.782 "BASIC MED" 0.424
"EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY" 0.781 "BASIC MED" 0.425
"NEUROCHEMISTRY INTERNATIONAL" 0.781 "BASIC MED" 0.426
"JOURNAL OF VASCULAR RESEARCH" 0.78 "BASIC MED" 0.426
"MUSCLE & NERVE" 0.779 "BASIC MED" 0.427
"EXPERT OPINION ON THERAPEUTIC PATENTS" 0.778 "BASIC MED" 0.428
"BEHAVIORAL AND BRAIN FUNCTIONS" 0.769 "BASIC MED" 0.429
"NEUROMODULATION" 0.769 "BASIC MED" 0.43
"MICROBES AND INFECTION" 0.768 "BASIC MED" 0.431
"TOXICOLOGY LETTERS" 0.767 "BASIC MED" 0.432
"PHARMACEUTICAL RESEARCH" 0.766 "BASIC MED" 0.433
"NEUROTOXICOLOGY AND TERATOLOGY" 0.765 "BASIC MED" 0.433
"CELLULAR IMMUNOLOGY" 0.763 "BASIC MED" 0.434
"FAMILY PROCESS" 0.763 "BASIC MED" 0.435
"HUMAN PATHOLOGY" 0.762 "BASIC MED" 0.436
